Product Name,Status,Local Request Timestamp,Begin Trip Local Timestamp,Local Dropoff Timestamp,Trip Distance (miles),Duration (Seconds),Local Base Fare,Local Original Fare,Local Cancellation Fee,Currency Code,Set Destination Trip
UberX,completed,2022-08-17T18:01:37.000Z,2022-08-17T18:19:26.000Z,2022-08-17T18:59:34.000Z,20.21756983170991,2408,1.87,38.12,0,USD,FALSE
UberX,completed,2022-08-17T17:23:30.000Z,2022-08-17T17:46:42.000Z,2022-08-17T18:12:13.000Z,5.878170514,1531,1.87,21.62,0,USD,FALSE
UberX,completed,2022-08-17T17:14:14.000Z,2022-08-17T17:17:53.000Z,2022-08-17T17:26:15.000Z,0.770043262,502,1.87,6.62,0,USD,FALSE
UberX,completed,2022-08-17T16:46:37.000Z,2022-08-17T17:00:24.000Z,2022-08-17T17:13:05.000Z,3.938808508,761,1.87,11.05,0,USD,FALSE
UberX,completed,2022-08-17T15:59:18.000Z,2022-08-17T16:17:01.000Z,2022-08-17T16:55:42.000Z,10.75470654211918,2321,1.87,26.09,0,USD,FALSE
UberX,completed,2022-08-17T15:25:22.000Z,2022-08-17T15:35:52.000Z,2022-08-17T16:07:24.000Z,16.96635820425858,1892,1.87,61.29,0,USD,FALSE
UberX,completed,2022-08-13T23:24:10.000Z,2022-08-13T23:40:54.000Z,2022-08-13T23:53:32.000Z,8.988856987,758,1.87,25.76,0,USD,TRUE
UberX,completed,2022-08-13T23:07:48.000Z,2022-08-13T23:13:56.000Z,2022-08-13T23:31:33.000Z,5.678357801,1057,1.87,23.89,0,USD,TRUE
UberX,completed,2022-08-13T22:48:15.000Z,2022-08-13T22:58:04.000Z,2022-08-13T23:06:26.000Z,3.91429112,502,1.87,23.12,0,USD,TRUE
UberX,completed,2022-08-13T22:08:35.000Z,2022-08-13T22:31:02.000Z,2022-08-13T22:42:57.000Z,3.35936914,715,1.87,14.96,0,USD,FALSE
UberX,completed,2022-08-13T21:59:19.000Z,2022-08-13T22:09:37.000Z,2022-08-13T22:16:42.000Z,1.818717564,425,1.87,10.3,0,USD,FALSE
UberX,completed,2022-08-13T20:33:57.000Z,2022-08-13T20:56:44.000Z,2022-08-13T21:55:01.000Z,25.11204812248967,3497,1.87,48.77,0,USD,FALSE
UberX,completed,2022-08-13T20:03:05.000Z,2022-08-13T20:34:44.000Z,2022-08-13T20:48:29.000Z,6.923967171,825,1.87,27.81,0,USD,FALSE
UberX,completed,2022-08-13T19:34:03.000Z,2022-08-13T19:51:40.000Z,2022-08-13T20:05:51.000Z,8.576695697,851,1.87,16.56,0,USD,FALSE
UberX,completed,2022-08-13T19:06:43.000Z,2022-08-13T19:14:55.000Z,2022-08-13T19:49:51.000Z,29.53135281,2096,1.87,47.8,0,USD,FALSE
UberX,completed,2022-08-13T18:30:45.000Z,2022-08-13T18:44:07.000Z,2022-08-13T18:57:16.000Z,5.491517298,789,1.87,23.59,0,USD,FALSE
UberX,completed,2022-08-13T18:16:23.000Z,2022-08-13T18:22:39.000Z,2022-08-13T18:38:20.000Z,4.57321444,941,1.87,15.36,0,USD,FALSE
UberX,completed,2022-08-13T17:59:17.000Z,2022-08-13T18:04:38.000Z,2022-08-13T18:15:32.000Z,2.499372237,654,1.87,11.2,0,USD,FALSE
UberX,completed,2022-08-13T17:35:26.000Z,2022-08-13T17:42:48.000Z,2022-08-13T18:03:54.000Z,6.603839963,1266,1.87,18.66,0,USD,FALSE
UberX,completed,2022-08-13T16:47:58.000Z,2022-08-13T16:57:59.000Z,2022-08-13T17:13:24.000Z,3.582527351,925,1.87,14.95,0,USD,FALSE
UberX,completed,2022-08-13T16:00:04.000Z,2022-08-13T16:11:05.000Z,2022-08-13T16:57:34.000Z,25.84786016552915,2789,1.87,46.14,0,USD,FALSE
UberX,completed,2022-08-13T15:39:16.000Z,2022-08-13T15:50:20.000Z,2022-08-13T16:07:02.000Z,9.31705591,1002,1.87,18.41,0,USD,FALSE
UberX,completed,2022-08-13T15:00:31.000Z,2022-08-13T15:08:25.000Z,2022-08-13T15:37:56.000Z,21.55079256335018,1771,1.87,44.44,0,USD,FALSE
UberX,completed,2022-08-12T21:40:15.000Z,2022-08-12T21:50:55.000Z,2022-08-12T22:30:45.000Z,28.52357017516896,2390,1.87,48.92,0,USD,FALSE
UberX,completed,2022-08-12T21:21:16.000Z,2022-08-12T21:37:02.000Z,2022-08-12T21:46:00.000Z,3.086614629,538,1.87,12.24,0,USD,FALSE
UberX,completed,2022-08-12T20:55:07.000Z,2022-08-12T21:02:53.000Z,2022-08-12T21:21:40.000Z,9.656275945,1127,1.87,20.34,0,USD,FALSE
UberX,completed,2022-08-12T20:39:41.000Z,2022-08-12T20:44:23.000Z,2022-08-12T20:58:54.000Z,3.970319985,871,1.87,12.86,0,USD,FALSE
UberX,completed,2022-08-12T20:11:42.000Z,2022-08-12T20:21:58.000Z,2022-08-12T20:38:21.000Z,4.37199306,983,1.87,13.84,0,USD,FALSE
